epoch;loss;mean_absolute_error;mean_squared_error;val_loss;val_mean_absolute_error;val_mean_squared_error
0;31216.678674316405;133.85055675506592;31216.678674316405;15673.285500919117;100.9336996639476;15673.285500919117
0;7368.435356140137;64.77982629537583;7368.435356140137;9912.469094669117;85.3881441004136;9912.469094669117
0;17587.337280019125;94.1026993473371;17587.337280019125;11920.928768382353;86.23278718836167;11920.928768382353
0;6792.178239568075;62.65568855603536;6792.178239568075;12668.670381433823;93.3895398308249;12668.670381433823
0;4299.862202072143;49.83407514691353;4299.862202072143;12180.992474724264;94.31192644904641;12180.992474724264
0;3431.7265771230063;44.666412727038065;3431.7265771230063;10297.147748161764;86.37468584846047;10297.147748161764
0;3081.1449443817137;42.09839554230372;3081.1449443817137;8751.098288143383;76.73226210650276;8751.098288143383
0;2914.8986272176107;40.951315174500145;2914.8986272176107;9856.293658088236;86.80915293974034;9856.293658088236
0;2931.8381786346436;41.083151616652806;2931.8381786346436;8803.06698069853;75.189136280733;8803.06698069853
0;2748.9830704371134;39.55977632800738;2748.9830704371134;10260.845243566177;79.47587136661305;10260.845243566177
0;2481.9642585754395;37.68715307712555;2481.9642585754395;8338.641831341913;76.29283545998966;8338.641831341913
0;2492.6348375320435;37.722049156824745;2492.6348375320435;10044.33984375;81.3125394933364;10044.33984375
0;2434.347029177348;37.40885090827942;2434.347029177348;12345.87362132353;89.37547751034008;12345.87362132353
0;2359.404354095459;36.6393997947375;2359.404354095459;8782.040958180147;76.86989817899816;8782.040958180147
0;2321.2893718719483;36.369700984160104;2321.2893718719483;8487.29572610294;76.66258329503677;8487.29572610294
0;2244.5813807169598;35.43482478062312;2244.5813807169598;7319.835707720588;70.81314042035271;7319.835707720588
0;2144.7054770469667;34.816180731852846;2144.7054770469667;7155.646024816177;68.76970089183135;7155.646024816177
0;2122.023232078552;34.66367555856705;2122.023232078552;6842.08731617647;66.16299617991729;6842.08731617647
0;2090.084613100688;34.3154510597388;2090.084613100688;7724.136776194853;72.02927264045266;7724.136776194853
0;2060.734499613444;34.043707340955734;2060.734499613444;6581.132065716912;64.4593802059398;6581.132065716912
0;2002.769362004598;33.585353249311446;2002.769362004598;7343.02872242647;71.45544702866498;7343.02872242647
0;1973.505117925008;33.17435894409815;1973.505117925008;6634.5;68.07799844180836;6634.5
