,pred count,true count,Is in Training
0,0.0,0.0,True
1,0.0,0.0,False
2,0.0,131.04505330755174,False
3,0.0,165.59555335909417,False
4,0.0,0.0,True
5,0.0,0.0,True
6,0.0,165.6959694553788,True
7,0.0,146.83071552388895,False
8,0.0,0.0,True
9,0.0,0.0,True
10,0.0,371.38221217039745,False
11,0.0,327.26151180334534,True
12,0.0,0.0,True
13,0.0,0.0,True
14,0.0,172.6823101704315,True
15,0.0,269.1521343785741,False
16,0.0,0.0,True
17,0.0,2.560267413348933,True
18,0.0,267.3770733150468,True
19,0.0,234.07433222287023,True
20,0.0,0.0,False
21,0.0,0.0,True
22,0.0,404.13855794168717,False
23,0.0,223.91201155934075,True
24,0.0,0.0,True
25,0.0,0.0,False
26,0.0,182.24200588593612,False
27,0.0,154.91483162265695,True
28,0.0,0.0,True
29,0.0,0.0,True
30,0.0,153.09049687424516,False
31,0.0,179.15467811650183,True
32,0.0,0.0,True
33,0.0,0.0,True
34,0.0,393.13695766342244,True
35,0.0,150.46445004736563,True
36,0.0,0.0,False
37,0.0,0.0,False
38,0.0,39.93119067155306,True
39,0.0,244.43975468213168,True
40,0.0,0.0,True
41,0.0,0.0,True
42,0.0,194.8445588939138,True
43,0.0,189.1668079015868,False
44,0.0,0.0,True
45,0.0,11.295870821803828,True
46,0.0,194.4813151778255,True
47,0.0,191.36391521795525,True
48,0.0,0.0,True
49,0.0,0.0,False
50,0.0,191.2324585553148,False
51,0.0,199.59735253709798,True
52,0.0,0.0,False
53,0.0,0.0,True
54,0.0,239.69638043762075,False
55,0.0,250.73344139285257,True
56,0.0,0.0,True
57,0.0,27.813364884637036,False
58,0.0,454.3238253566495,True
59,0.0,291.829913836491,True
60,0.0,0.0,False
61,0.0,0.0,True
62,0.0,151.85890734821118,True
63,0.0,79.84115124578425,True
64,0.0,0.0,False
65,0.0,0.0,True
66,0.0,384.93839918363204,True
67,0.0,230.95832418712587,True
68,0.0,0.0,False
69,0.0,2.3103367436851117,True
70,0.0,383.0534460539963,True
71,0.0,120.55661397378178,False
72,0.0,0.0,False
73,0.0,0.0,True
74,0.0,212.26973781749604,False
75,0.0,285.4748826568388,False
76,0.0,0.0,False
77,0.0,0.0,False
78,0.0,49.92691603538458,True
79,0.0,194.8303237162,True
80,0.0,0.0,True
81,0.0,0.0,True
82,0.0,351.95804902594097,True
83,0.0,134.8069338310688,False
84,0.0,0.0,True
85,0.0,0.0,True
86,0.0,10.993830497017155,False
87,0.0,53.07078062015013,False
88,0.0,0.0,True
89,0.0,14.937973923832038,True
90,0.0,155.39775113223965,True
91,0.0,0.440745426111599,True
92,0.0,0.0,True
93,0.0,0.0,True
94,0.0,195.2815344654452,False
95,0.0,328.23535073745234,True
96,0.0,0.0,False
97,0.0,0.0,False
98,0.0,490.96127758751203,True
99,0.0,366.0202506781128,True
100,0.0,0.0,True
101,0.0,0.0,True
102,0.0,189.9808294430324,True
103,0.0,37.14555044783692,False
104,0.0,0.0,False
105,0.0,0.0,True
106,0.0,55.587205833047975,True
107,0.0,169.16574076061673,True
108,0.0,0.0,True
109,0.0,0.0,False
110,0.0,543.3561520271417,True
